iter	Passed	Remaining
971	98442	2835
972	98550	2734
973	98644	2633
974	98740	2531
975	98845	2430
976	98946	2329
977	99050	2228
978	99139	2126
979	99241	2025
980	99336	1923
981	99427	1822
982	99527	1721
983	99619	1619
984	99716	1518
985	99807	1417
986	99912	1315
987	100002	1214
988	100092	1113
989	100187	1011
990	100288	910
991	100387	809
992	100478	708
993	100593	607
994	100685	505
995	100777	404
996	100881	303
997	100983	202
998	101081	101
999	101183	0
